case_id,service,primary_model,fallback_model,attack_type,attack_severity,attack_epsilon,attack_epsilon_255,attack_patch_side_fraction,quality_metric,quality_direction,clean_quality,attacked_quality,fallback_quality,interim_quality,restored_quality,quality_loss,interim_restoration_fraction,fallback_improves_quality,preferred_recovery_action,model_degraded,model_trusted,recovery_required,attack_wall_sec,attack_magnitude_c,clean_scaled_rmse,attacked_scaled_rmse,rho,mask_id,scenario_name,scenario_path,n_feasible_assignments,method
rq3f_00032,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,8,rho_0.333_mask_08,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_08.json,30,easy
rq3f_00033,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,9,rho_0.333_mask_09,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_09.json,30,replica
rq3f_00034,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,9,rho_0.333_mask_09,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_09.json,30,heft
rq3f_00035,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,9,rho_0.333_mask_09,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_09.json,30,cpsat
rq3f_00036,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,9,rho_0.333_mask_09,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_09.json,30,easy
rq3f_00037,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,10,rho_0.333_mask_10,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_10.json,30,replica
rq3f_00038,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,10,rho_0.333_mask_10,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_10.json,30,heft
rq3f_00039,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,10,rho_0.333_mask_10,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_10.json,30,cpsat
rq3f_00040,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,10,rho_0.333_mask_10,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_10.json,30,easy
rq3f_00041,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,11,rho_0.333_mask_11,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_11.json,30,replica
rq3f_00042,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,11,rho_0.333_mask_11,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_11.json,30,heft
rq3f_00043,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,11,rho_0.333_mask_11,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_11.json,30,cpsat
rq3f_00044,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,11,rho_0.333_mask_11,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_11.json,30,easy
rq3f_00045,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,12,rho_0.333_mask_12,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_12.json,30,replica
rq3f_00046,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,12,rho_0.333_mask_12,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_12.json,30,heft
rq3f_00047,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,12,rho_0.333_mask_12,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_12.json,30,cpsat
rq3f_00048,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,12,rho_0.333_mask_12,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_12.json,30,easy
rq3f_00049,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,13,rho_0.333_mask_13,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_13.json,30,replica
rq3f_00050,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,13,rho_0.333_mask_13,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_13.json,30,heft
rq3f_00051,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,13,rho_0.333_mask_13,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_13.json,30,cpsat
rq3f_00052,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,13,rho_0.333_mask_13,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_13.json,30,easy
